Name,Rtg,Pos,Card,Nation,PAC,SHO,PAS,DRI,DEF,PHY,Link
Thomas Müller,91,RM,goldblue,Germany,90,92,89,89,58,84,https://wefut.com/player/13/13047/thomas-muller
Marco Reus,91,LM,goldblue,Germany,95,93,87,93,56,68,https://wefut.com/player/13/13046/marco-reus
Robert Lewandowski,91,ST,goldblue,Poland,89,92,74,90,57,90,https://wefut.com/player/13/13044/robert-lewandowski
Bastian Schweinsteiger,91,CM,goldblue,Germany,71,88,92,91,86,80,https://wefut.com/player/13/13038/bastian-schweinsteiger
Luis Suárez,91,ST,goldblue,Uruguay,88,94,84,95,61,80,https://wefut.com/player/13/13009/luis-suarez
Eden Hazard,91,RM,goldblue,Belgium,93,87,89,95,54,67,https://wefut.com/player/13/12999/eden-hazard
Arjen Robben,91,RM,motm,Netherlands,95,91,88,95,51,63,https://wefut.com/player/13/13052/arjen-robben
Lionel Messi,91,CF,special,Argentina,93,99,84,96,43,72,https://wefut.com/player/13/11065/lionel-messi
Franck Ribéry,91,LM,goldif,France,93,83,84,93,46,56,https://wefut.com/player/13/11302/franck-ribery
Iniesta,91,LW,goldif,Spain,76,75,93,92,67,56,https://wefut.com/player/13/11214/iniesta
Mario Götze,90,CAM,goldblue,Germany,89,85,90,94,60,68,https://wefut.com/player/13/13045/mario-gotze
Juan Mata,90,CAM,goldblue,Spain,89,87,88,92,50,70,https://wefut.com/player/13/13001/juan-mata
Cesc Fàbregas,90,CM,motm,Spain,72,87,94,89,73,75,https://wefut.com/player/13/13264/cesc-fabregas
Dani Alves,90,RB,toty,Brazil,93,76,86,88,86,78,https://wefut.com/player/13/11567/dani-alves
Arjen Robben,90,RM,goldif,Netherlands,94,89,86,94,50,62,https://wefut.com/player/13/12609/arjen-robben
Wayne Rooney,90,CF,goldif,England,80,89,85,85,62,84,https://wefut.com/player/13/11362/wayne-rooney
Falcao,90,ST,goldif,Colombia,80,87,60,80,54,92,https://wefut.com/player/13/11176/falcao
Franck Ribéry,90,LM,goldrare,France,93,79,83,93,45,55,https://wefut.com/player/13/2855/franck-ribery
Xavi,90,CM,goldrare,Spain,66,73,93,87,68,54,https://wefut.com/player/13/240/xavi
Antonio Di Natale,92,ST,goldblue,Italy,92,94,89,93,54,70,https://wefut.com/player/13/13119/antonio-di-natale
Sergio Busquets,89,CDM,goldblue,Spain,62,66,84,81,89,79,https://wefut.com/player/13/13238/sergio-busquets
Mario Balotelli,89,ST,goldblue,Italy,90,89,77,90,56,79,https://wefut.com/player/13/13134/mario-balotelli
Arturo Vidal,89,CDM,goldblue,Chile,86,84,89,88,90,79,https://wefut.com/player/13/13125/arturo-vidal
Andrea Barzagli,89,CB,goldblue,Italy,73,52,73,60,91,88,https://wefut.com/player/13/13075/andrea-barzagli
Toni Kroos,89,CAM,goldblue,Germany,67,90,93,89,70,64,https://wefut.com/player/13/13049/toni-kroos
Jefferson Farfán,89,RM,goldblue,Peru,94,87,89,91,59,72,https://wefut.com/player/13/13042/jefferson-farfan
Santi Cazorla,89,CAM,goldblue,Spain,85,88,92,92,55,70,https://wefut.com/player/13/13010/santi-cazorla
Steven Gerrard,89,CDM,goldblue,England,77,91,93,85,80,82,https://wefut.com/player/13/13005/steven-gerrard
Mario Gomez,89,ST,motm,Germany,78,88,69,79,51,87,https://wefut.com/player/13/13141/mario-gomez
Marcelo,89,LB,toty,Brazil,87,71,87,88,86,74,https://wefut.com/player/13/11564/marcelo
Thiago Silva,89,CB,goldif,Brazil,84,64,82,75,90,86,https://wefut.com/player/13/12858/thiago-silva
Robin van Persie,89,ST,goldif,Netherlands,79,92,83,86,50,70,https://wefut.com/player/13/12843/robin-van-persie
Cesc Fàbregas,89,CF,goldif,Spain,71,85,93,87,70,73,https://wefut.com/player/13/12801/cesc-fabregas
Arjen Robben,89,RM,goldif,Netherlands,93,87,84,93,48,60,https://wefut.com/player/13/11739/arjen-robben
David Silva,89,LM,goldif,Spain,80,83,88,89,48,60,https://wefut.com/player/13/11625/david-silva
Zlatan Ibrahimović,89,ST,goldif,Sweden,78,90,82,88,52,79,https://wefut.com/player/13/11213/zlatan-ibrahimovic
Falcao,89,ST,goldrare,Colombia,79,85,59,80,53,91,https://wefut.com/player/13/13560/falcao
Falcao,89,ST,goldrare,Colombia,79,85,59,80,53,91,https://wefut.com/player/13/12239/falcao
Nemanja Vidić,89,CB,goldrare,Serbia,59,42,59,54,87,92,https://wefut.com/player/13/2013/nemanja-vidic
Wayne Rooney,89,CF,goldrare,England,79,88,83,84,61,82,https://wefut.com/player/13/1003/wayne-rooney
Stephan El Shaarawy,88,LW,goldblue,Italy,89,85,81,90,60,64,https://wefut.com/player/13/13135/stephan-el-shaarawy
Stefan Kießling,88,ST,goldblue,Germany,83,90,77,77,58,92,https://wefut.com/player/13/13051/stefan-kiessling
Mario Mandžukić,88,ST,goldblue,Croatia,83,87,68,83,57,93,https://wefut.com/player/13/13043/mario-mandzukic
Iniesta,90,LW,goldrare,Spain,75,72,91,91,91,87,https://wefut.com/player/13/13006/rio-ferdinand
Neymar,88,LW,motm,Brazil,93,88,82,94,48,63,https://wefut.com/player/13/13311/neymar
Andrea Pirlo,88,CM,motm,Italy,62,79,93,88,74,50,https://wefut.com/player/13/13263/andrea-pirlo
Edinson Cavani,88,ST,goldif,Uruguay,87,90,70,81,66,87,https://wefut.com/player/13/12903/edinson-cavani
Mario Gomez,88,ST,goldif,Germany,77,85,67,77,50,86,https://wefut.com/player/13/12842/mario-gomez
Xabi Alonso,88,CM,goldif,Spain,59,76,90,73,82,68,https://wefut.com/player/13/12799/xabi-alonso
Eden Hazard,88,LM,goldif,Belgium,90,81,85,91,48,63,https://wefut.com/player/13/12344/eden-hazard
Luis Suárez,88,ST,goldif,Uruguay,83,89,78,91,57,73,https://wefut.com/player/13/12283/luis-suarez
Gareth Bale,88,CAM,goldif,Wales,94,86,86,88,77,74,https://wefut.com/player/13/11752/gareth-bale
Cesc Fàbregas,88,CM,goldif,Spain,70,81,92,85,69,71,https://wefut.com/player/13/11366/cesc-fabregas
Karim Benzema,88,ST,goldif,France,86,85,74,85,43,77,https://wefut.com/player/13/11232/karim-benzema
Mesut Özil,88,CAM,goldif,Germany,78,79,86,89,44,56,https://wefut.com/player/13/11174/mesut-ozil
Thiago Silva,88,CB,goldif,Brazil,83,63,80,73,89,84,https://wefut.com/player/13/11105/thiago-silva
David Silva,88,CAM,goldrare,Spain,78,79,86,88,47,59,https://wefut.com/player/13/3843/david-silva
Falcao,88,ST,goldrare,Colombia,78,83,57,78,53,90,https://wefut.com/player/13/3734/falcao
Zlatan Ibrahimović,88,ST,goldrare,Sweden,77,88,79,87,51,78,https://wefut.com/player/13/555/zlatan-ibrahimovic
Arjen Robben,88,RM,goldrare,Netherlands,93,85,80,92,47,58,https://wefut.com/player/13/221/arjen-robben
Robin van Persie,88,ST,goldrare,Netherlands,78,89,81,84,49,68,https://wefut.com/player/13/192/robin-van-persie
Beñat,87,CM,goldblue,Spain,72,83,90,82,75,61,https://wefut.com/player/13/13239/benat
Jordi Alba,87,LB,goldblue,Spain,94,74,84,87,87,75,https://wefut.com/player/13/13228/jordi-alba
Mathieu Valbuena,87,CAM,goldblue,France,89,81,91,90,50,56,https://wefut.com/player/13/13177/mathieu-valbuena
Jérémy Ménez,87,CF,goldblue,France,90,81,86,90,55,70,https://wefut.com/player/13/13176/jeremy-menez
Stephan Lichtsteiner,87,RM,goldblue,Switzerland,88,69,87,82,85,81,https://wefut.com/player/13/13127/stephan-lichtsteiner
Hugo Campagnaro,87,CB,goldblue,Argentina,78,64,75,70,90,88,https://wefut.com/player/13/13077/hugo-campagnaro
Medhi Benatia,87,CB,goldblue,Morocco,71,45,69,62,90,87,https://wefut.com/player/13/13076/medhi-benatia
Rio Ferdinand,88,CB,goldblue,England,68,53,78,74,88,89,https://wefut.com/player/13/13037/dante
Jan Vertonghen,87,CB,goldblue,Belgium,77,78,85,78,90,89,https://wefut.com/player/13/13007/jan-vertonghen
Javi Martínez,87,CDM,goldblue,Spain,63,70,82,76,88,87,https://wefut.com/player/13/12932/javi-martinez
Fernando Torres,87,ST,motm,Spain,85,86,73,85,50,79,https://wefut.com/player/13/13287/fernando-torres
Daniele De Rossi,87,CM,motm,Italy,70,80,84,81,86,86,https://wefut.com/player/13/13285/daniele-de-rossi
Neymar,87,LW,motm,Brazil,92,86,79,93,46,61,https://wefut.com/player/13/13260/neymar
Robert Lewandowski,87,ST,motm,Poland,84,86,68,86,51,86,https://wefut.com/player/13/12852/robert-lewandowski
Marco Reus,87,LM,motm,Germany,93,90,82,90,50,63,https://wefut.com/player/13/12811/marco-reus
Alexis Sánchez,87,RW,goldif,Chile,90,84,83,91,55,68,https://wefut.com/player/13/13064/alexis-sanchez
Antonio Di Natale,87,ST,goldif,Italy,89,91,85,91,49,65,https://wefut.com/player/13/12802/antonio-di-natale
Gonzalo Higuaín,87,ST,goldif,Argentina,80,86,79,85,45,77,https://wefut.com/player/13/12595/gonzalo-higuain
Bastian Schweinsteiger,87,CDM,goldif,Germany,64,84,87,83,81,75,https://wefut.com/player/13/12590/bastian-schweinsteiger
Ángel Di María,87,RM,goldif,Argentina,90,83,84,88,59,63,https://wefut.com/player/13/11623/angel-di-maria
Edinson Cavani,87,ST,goldif,Uruguay,86,86,68,79,65,86,https://wefut.com/player/13/11585/edinson-cavani
Gareth Bale,87,LM,goldif,Wales,93,84,85,87,76,73,https://wefut.com/player/13/11426/gareth-bale
Luis Suárez,87,ST,goldif,Uruguay,82,86,76,90,56,71,https://wefut.com/player/13/11286/luis-suarez
Juan Mata,87,RM,goldif,Spain,84,81,82,88,44,66,https://wefut.com/player/13/11281/juan-mata
Marek Hamšik,87,CAM,goldif,Slovakia,78,83,85,85,71,78,https://wefut.com/player/13/11245/marek-hamsik
Mario Gomez,87,ST,goldrare,Germany,76,80,65,75,49,84,https://wefut.com/player/13/14071/mario-gomez
Wesley Sneijder,87,CAM,goldrare,Netherlands,78,77,88,85,66,51,https://wefut.com/player/13/11677/wesley-sneijder
Eden Hazard,87,LW,goldrare,Belgium,90,78,83,90,47,62,https://wefut.com/player/13/5575/eden-hazard
Mesut Özil,87,CAM,goldrare,Germany,77,75,85,88,43,55,https://wefut.com/player/13/4676/mesut-ozil
Karim Benzema,87,ST,goldrare,France,85,83,71,84,42,76,https://wefut.com/player/13/3581/karim-benzema
Thiago Silva,87,CB,goldrare,Brazil,82,62,78,72,88,82,https://wefut.com/player/13/3472/thiago-silva
Cesc Fàbregas,87,CM,goldrare,Spain,69,80,90,84,68,70,https://wefut.com/player/13/3278/cesc-fabregas
Sergio Agüero,87,ST,goldrare,Argentina,88,84,73,91,42,72,https://wefut.com/player/13/2646/sergio-aguero
Mario Gomez,87,ST,goldrare,Germany,76,80,65,75,49,84,https://wefut.com/player/13/2441/mario-gomez
Wesley Sneijder,87,CAM,goldrare,Netherlands,78,77,88,85,66,51,https://wefut.com/player/13/1947/wesley-sneijder
Philipp Lahm,87,RB,goldrare,Germany,82,58,82,82,82,66,https://wefut.com/player/13/1401/philipp-lahm
Xabi Alonso,87,CM,goldrare,Spain,58,75,88,71,81,66,https://wefut.com/player/13/587/xabi-alonso
Andrea Pirlo,87,CM,goldrare,Italy,61,75,92,86,71,48,https://wefut.com/player/13/187/andrea-pirlo
Marco Di Vaio,86,ST,goldblue,Italy,87,88,73,85,55,76,https://wefut.com/player/13/14263/marco-di-vaio
Dries Mertens,86,LW,goldblue,Belgium,90,88,83,88,54,52,https://wefut.com/player/13/13196/dries-mertens
Christian Eriksen,86,CM,goldblue,Denmark,86,81,88,90,52,60,https://wefut.com/player/13/13195/christian-eriksen
Dimitri Payet,86,LW,goldblue,France,89,87,87,86,60,68,https://wefut.com/player/13/13167/dimitri-payet
David Alaba,86,LB,goldblue,Austria,91,79,89,88,85,74,https://wefut.com/player/13/13048/david-alaba
Marouane Fellaini,86,CAM,goldblue,Belgium,79,82,87,82,87,90,https://wefut.com/player/13/13011/marouane-fellaini
Michael Carrick,86,CDM,goldblue,England,70,78,90,81,86,80,https://wefut.com/player/13/13000/michael-carrick
Leighton Baines,86,LB,goldblue,England,85,79,87,83,86,75,https://wefut.com/player/13/12998/leighton-baines
Landon Donovan,86,CF,goldblue,United States,90,82,85,83,60,66,https://wefut.com/player/13/12936/landon-donovan
Thomas Müller,86,CAM,motm,Germany,85,86,83,84,52,78,https://wefut.com/player/13/12851/thomas-muller
Klaas-Jan Huntelaar,86,ST,goldif,Netherlands,72,86,64,74,50,84,https://wefut.com/player/13/12864/klaas-jan-huntelaar
Rafael van der Vaart,86,CAM,goldif,Netherlands,66,88,87,85,51,62,https://wefut.com/player/13/12838/rafael-van-der-vaart
Mario Götze,86,LM,goldif,Germany,84,78,83,91,53,62,https://wefut.com/player/13/12819/mario-gotze
Alexis Sánchez,86,RW,goldif,Chile,89,81,81,90,54,66,https://wefut.com/player/13/12797/alexis-sanchez
Samuel Eto'o,86,ST,goldif,Cameroon,91,85,72,85,51,78,https://wefut.com/player/13/12594/samuel-eto-o
David Villa,86,LW,goldif,Spain,80,89,76,86,48,73,https://wefut.com/player/13/12346/david-villa
Claudio Marchisio,86,CM,goldif,Italy,82,82,85,86,79,74,https://wefut.com/player/13/12342/claudio-marchisio
Marco Reus,86,LM,goldif,Germany,92,89,79,88,49,62,https://wefut.com/player/13/11724/marco-reus
Antonio Cassano,86,LW,goldif,Italy,70,82,89,91,48,67,https://wefut.com/player/13/11706/antonio-cassano
Antonio Di Natale,86,ST,goldif,Italy,88,89,83,89,48,63,https://wefut.com/player/13/11586/antonio-di-natale
Pedro,86,RW,goldif,Spain,86,83,82,87,52,63,https://wefut.com/player/13/11584/pedro
Gonzalo Higuaín,86,ST,goldif,Argentina,79,83,77,84,44,75,https://wefut.com/player/13/11365/gonzalo-higuain
Marek Hamšik,86,CAM,goldif,Slovakia,77,83,83,84,70,75,https://wefut.com/player/13/11301/marek-hamsik
Gareth Bale,86,LM,goldif,Wales,92,81,84,86,75,72,https://wefut.com/player/13/11283/gareth-bale
Pepe,86,CB,goldif,Portugal,75,49,64,63,85,84,https://wefut.com/player/13/11279/pepe
Neymar,86,ST,goldif,Brazil,91,83,76,92,45,60,https://wefut.com/player/13/11269/neymar
Toni Kroos,86,CAM,goldif,Germany,59,87,88,85,64,58,https://wefut.com/player/13/11210/toni-kroos
Vincent Kompany,86,CB,goldif,Belgium,75,58,75,73,87,81,https://wefut.com/player/13/11206/vincent-kompany
Fernando Torres,86,ST,goldif,Spain,84,84,72,84,49,78,https://wefut.com/player/13/11178/fernando-torres
Sergio Busquets,86,CDM,goldif,Spain,58,63,81,77,83,73,https://wefut.com/player/13/11155/sergio-busquets
Santi Cazorla,86,CAM,goldif,Spain,80,84,88,88,50,66,https://wefut.com/player/13/11154/santi-cazorla
Edinson Cavani,86,ST,goldrare,Uruguay,85,83,66,77,64,84,https://wefut.com/player/13/14072/edinson-cavani
Carlos Tévez,86,ST,goldrare,Argentina,83,85,77,84,64,71,https://wefut.com/player/13/13554/carlos-tevez
Arda Turan,86,CAM,goldrare,Turkey,74,75,83,89,49,71,https://wefut.com/player/13/12240/arda-turan
Ángel Di María,86,RM,goldrare,Argentina,90,79,82,87,58,62,https://wefut.com/player/13/5765/angel-di-maria
Edinson Cavani,86,ST,goldrare,Uruguay,85,83,66,77,64,84,https://wefut.com/player/13/5174/edinson-cavani
Juan Mata,86,CAM,goldrare,Spain,83,77,80,87,43,65,https://wefut.com/player/13/4968/juan-mata
Luka Modrić,86,CAM,goldrare,Croatia,78,73,86,87,64,60,https://wefut.com/player/13/4735/luka-modric
Luis Suárez,86,CF,goldrare,Uruguay,81,83,74,89,55,70,https://wefut.com/player/13/4664/luis-suarez
Ezequiel Lavezzi,86,LW,goldrare,Argentina,93,77,74,90,49,58,https://wefut.com/player/13/3087/ezequiel-lavezzi
Piqué,86,CB,goldrare,Spain,62,52,76,67,86,81,https://wefut.com/player/13/2586/pique
Carlos Tévez,86,ST,goldrare,Argentina,83,85,77,84,64,71,https://wefut.com/player/13/2076/carlos-tevez
Bastian Schweinsteiger,86,CM,goldrare,Germany,62,82,86,82,79,73,https://wefut.com/player/13/1403/bastian-schweinsteiger
Daniele De Rossi,86,CDM,goldrare,Italy,69,77,81,79,84,84,https://wefut.com/player/13/895/daniele-de-rossi
Yaya Touré,86,CM,goldrare,Ivory Coast,77,73,80,79,83,84,https://wefut.com/player/13/442/yaya-toure
Puyol,86,CB,goldrare,Spain,55,48,66,56,87,84,https://wefut.com/player/13/303/puyol
Thierry Henry,85,ST,goldblue,France,82,86,79,88,49,69,https://wefut.com/player/13/14261/thierry-henry
Filipe Luís,85,LB,goldblue,Brazil,86,69,85,84,87,69,https://wefut.com/player/13/13237/filipe-luis
Wilfried Bony,85,ST,goldblue,Ivory Coast,81,89,62,80,59,89,https://wefut.com/player/13/13197/wilfried-bony
Kevin Strootman,85,CM,goldblue,Netherlands,69,79,87,82,76,72,https://wefut.com/player/13/13187/kevin-strootman
Pierre-Emerick Aubameyang,85,RW,goldblue,Gabon,96,86,79,85,58,81,https://wefut.com/player/13/13175/pierre-emerick-aubameyang
Mamadou Sakho,85,CB,goldblue,France,80,43,73,61,85,86,https://wefut.com/player/13/13172/mamadou-sakho
Aurélien Chedjou,85,CB,goldblue,Cameroon,70,65,73,64,88,89,https://wefut.com/player/13/13171/aurelien-chedjou
Erik Lamela,85,RW,goldblue,Argentina,88,83,81,92,50,70,https://wefut.com/player/13/13086/erik-lamela
Jérôme Boateng,85,CB,goldblue,Germany,81,65,81,74,87,88,https://wefut.com/player/13/13036/jerome-boateng
Pablo Zabaleta,85,RB,goldblue,Argentina,75,63,81,78,88,83,https://wefut.com/player/13/12997/pablo-zabaleta
Mikel Arteta,85,CM,goldblue,Spain,71,85,91,88,77,73,https://wefut.com/player/13/12934/mikel-arteta
Alessandro Diamanti,85,CAM,goldblue,Italy,76,87,85,89,58,56,https://wefut.com/player/13/12933/alessandro-diamanti
Borja Valero,85,CM,goldblue,Spain,67,80,89,86,72,66,https://wefut.com/player/13/12931/borja-valero
Nicolas N'Koulou,85,CB,goldblue,Cameroon,82,49,79,72,88,81,https://wefut.com/player/13/12930/nicolas-n-koulou
Ronaldinho,85,CAM,goldif,Brazil,62,86,89,91,44,63,https://wefut.com/player/13/13247/ronaldinho
Negredo,85,ST,goldif,Spain,71,89,68,82,52,87,https://wefut.com/player/13/13152/negredo
Frank Lampard,85,CDM,goldif,England,63,92,87,81,74,77,https://wefut.com/player/13/12983/frank-lampard
Hulk,85,ST,goldif,Brazil,91,89,79,85,61,76,https://wefut.com/player/13/12904/hulk
Miroslav Klose,85,ST,goldif,Germany,79,85,71,83,52,91,https://wefut.com/player/13/12902/miroslav-klose
Diego,85,LM,goldif,Brazil,78,82,89,90,54,65,https://wefut.com/player/13/12862/diego
Javier Mascherano,86,CB,goldrare,Argentina,85,81,88,88,60,64,https://wefut.com/player/13/12840/nicolas-gaitan
Jefferson Farfán,85,RM,goldif,Peru,91,81,83,87,52,67,https://wefut.com/player/13/12589/jefferson-farfan
Giorgio Chiellini,85,CB,goldif,Italy,81,60,66,55,87,87,https://wefut.com/player/13/12275/giorgio-chiellini
Arturo Vidal,85,CDM,goldif,Chile,81,77,84,84,84,73,https://wefut.com/player/13/11703/arturo-vidal
Walter Samuel,85,CB,goldif,Argentina,63,49,63,48,89,83,https://wefut.com/player/13/11675/walter-samuel
Mario Balotelli,85,ST,goldif,Italy,85,84,71,85,51,74,https://wefut.com/player/13/11665/mario-balotelli
Soldado,85,ST,goldif,Spain,81,85,68,81,57,84,https://wefut.com/player/13/11610/soldado
Thomas Müller,85,RM,goldif,Germany,84,83,80,82,51,74,https://wefut.com/player/13/11364/thomas-muller
Pedro,85,LW,goldif,Spain,85,79,81,86,51,62,https://wefut.com/player/13/11343/pedro
Toni Kroos,85,CAM,goldif,Germany,57,85,86,84,63,57,https://wefut.com/player/13/11331/toni-kroos
Marco Reus,85,LM,goldif,Germany,91,86,77,86,48,61,https://wefut.com/player/13/11282/marco-reus
Diego Milito,85,ST,goldif,Argentina,81,83,72,84,51,81,https://wefut.com/player/13/11267/diego-milito
João Moutinho,85,CM,goldif,Portugal,79,78,86,84,77,71,https://wefut.com/player/13/11264/joao-moutinho
Santi Cazorla,85,CAM,goldif,Spain,79,81,86,87,48,62,https://wefut.com/player/13/11231/santi-cazorla
Mario Götze,85,CAM,goldif,Germany,83,74,81,90,52,60,https://wefut.com/player/13/11229/mario-gotze
Claudio Marchisio,85,CM,goldif,Italy,81,79,83,85,77,73,https://wefut.com/player/13/11191/claudio-marchisio
Steven Gerrard,85,CAM,goldif,England,72,87,89,79,74,76,https://wefut.com/player/13/11108/steven-gerrard
David Villa,85,LW,goldrare,Spain,79,87,74,85,47,72,https://wefut.com/player/13/13928/david-villa
Antonio Cassano,85,CF,goldrare,Italy,68,80,88,90,47,66,https://wefut.com/player/13/13889/antonio-cassano
Jesús Navas,85,RW,goldrare,Spain,92,73,80,86,43,57,https://wefut.com/player/13/13888/jesus-navas
Neymar,85,ST,goldrare,Brazil,91,79,74,91,44,59,https://wefut.com/player/13/13312/neymar
Neymar,85,LW,goldrare,Brazil,91,79,74,91,44,59,https://wefut.com/player/13/7120/neymar
Sergio Busquets,85,CDM,goldrare,Spain,56,58,77,75,82,71,https://wefut.com/player/13/6783/sergio-busquets
Alexis Sánchez,85,RW,goldrare,Chile,88,77,76,88,53,64,https://wefut.com/player/13/5994/alexis-sanchez
Mats Hummels,85,CB,goldrare,Germany,65,58,75,68,85,84,https://wefut.com/player/13/5080/mats-hummels
Nicolás Gaitán,85,LM,goldif,Argentina,85,81,79,86,77,83,https://wefut.com/player/13/4488/kevin-prince-boateng
Gareth Bale,85,LM,goldrare,Wales,92,79,81,85,74,71,https://wefut.com/player/13/4463/gareth-bale
Marek Hamšik,85,CAM,goldrare,Slovakia,75,80,82,83,69,74,https://wefut.com/player/13/4225/marek-hamsik
Gonzalo Higuaín,85,ST,goldrare,Argentina,78,81,72,82,43,74,https://wefut.com/player/13/3780/gonzalo-higuain
Samir Nasri,85,CAM,goldrare,France,84,76,84,88,50,60,https://wefut.com/player/13/3601/samir-nasri
Klaas-Jan Huntelaar,85,ST,goldrare,Netherlands,71,82,61,71,49,79,https://wefut.com/player/13/2342/klaas-jan-huntelaar
Jesús Navas,85,RM,goldrare,Spain,92,73,80,86,43,57,https://wefut.com/player/13/2201/jesus-navas
Vincent Kompany,85,CB,goldrare,Belgium,74,57,74,72,86,79,https://wefut.com/player/13/1927/vincent-kompany
Nani,85,LM,goldrare,Portugal,87,80,81,89,43,53,https://wefut.com/player/13/1839/nani
Pepe,85,CB,goldrare,Portugal,74,48,60,61,84,82,https://wefut.com/player/13/1388/pepe
Antonio Di Natale,85,ST,goldrare,Italy,87,87,82,88,47,62,https://wefut.com/player/13/1378/antonio-di-natale
David Villa,85,LW,goldrare,Spain,79,87,74,85,47,72,https://wefut.com/player/13/1293/david-villa
Fernando Torres,85,ST,goldrare,Spain,83,82,70,83,48,77,https://wefut.com/player/13/700/fernando-torres
Rafael van der Vaart,85,CAM,goldrare,Netherlands,64,84,85,83,50,58,https://wefut.com/player/13/608/rafael-van-der-vaart
Samuel Eto'o,85,ST,goldrare,Cameroon,91,82,70,83,50,76,https://wefut.com/player/13/225/samuel-eto-o
Antonio Cassano,85,CF,goldrare,Italy,68,80,88,90,47,66,https://wefut.com/player/13/182/antonio-cassano
Robbie Keane,84,ST,goldblue,Republic of Ireland,76,88,75,83,49,71,https://wefut.com/player/13/14267/robbie-keane
Adam Maher,84,CM,goldblue,Netherlands,82,78,84,89,67,60,https://wefut.com/player/13/13194/adam-maher
Dieumerci Mbokani,84,ST,goldblue,DR Congo,88,81,70,82,53,87,https://wefut.com/player/13/13188/dieumerci-mbokani
Toby Alderweireld,84,CB,goldblue,Belgium,69,62,77,65,85,82,https://wefut.com/player/13/13184/toby-alderweireld
Florent Balmont,84,CM,goldblue,France,71,76,87,83,83,63,https://wefut.com/player/13/13166/florent-balmont
Michu,84,CF,goldblue,Spain,78,86,78,78,75,87,https://wefut.com/player/13/13012/michu
