Name,Rtg,Card,Nation,DIV,HAN,KIC,REF,SPE,POS,Link
Steve Mandanda,85,goldif,France,87,84,81,88,53,86,https://wefut.com/player/13/11204/steve-mandanda
Victor Valdés,85,goldrare,Spain,83,81,78,84,60,91,https://wefut.com/player/13/1140/victor-valdes
Casillas,95,toty,Spain,97,90,73,88,59,87,https://wefut.com/player/13/13309/julio-cesar
Samir Handanovič,84,goldif,Slovenia,87,81,80,87,57,88,https://wefut.com/player/13/12833/samir-handanovic
Salvatore Sirigu,84,goldif,Italy,87,82,73,89,50,86,https://wefut.com/player/13/11735/salvatore-sirigu
Federico Marchetti,84,goldif,Italy,88,82,66,89,57,84,https://wefut.com/player/13/11223/federico-marchetti
Roman Weidenfeller,84,goldif,Germany,87,82,58,88,48,86,https://wefut.com/player/13/11186/roman-weidenfeller
René Adler,84,goldrare,Germany,87,81,72,86,56,83,https://wefut.com/player/13/12242/rene-adler
Steve Mandanda,84,goldrare,France,86,83,81,86,53,83,https://wefut.com/player/13/3410/steve-mandanda
Joe Hart,84,goldrare,England,86,77,79,87,61,81,https://wefut.com/player/13/2476/joe-hart
Igor Akinfeev,84,goldrare,Russia,88,80,82,89,56,78,https://wefut.com/player/13/2292/igor-akinfeev
Petr Čech,84,goldrare,Czech Republic,85,81,75,85,45,84,https://wefut.com/player/13/682/petr-cech
Kenneth Vermeer,83,goldblue,Netherlands,86,78,70,90,67,81,https://wefut.com/player/13/13181/kenneth-vermeer
Júlio César,83,goldif,Brazil,86,81,68,86,59,85,https://wefut.com/player/13/11601/julio-cesar
Roman Weidenfeller,83,goldif,Germany,86,81,58,86,48,85,https://wefut.com/player/13/11295/roman-weidenfeller
Salvatore Sirigu,83,goldrare,Italy,85,79,73,87,50,84,https://wefut.com/player/13/3837/salvatore-sirigu
Samir Handanovič,83,goldrare,Slovenia,84,78,80,84,57,86,https://wefut.com/player/13/3268/samir-handanovic
Federico Marchetti,83,goldrare,Italy,86,81,66,88,57,81,https://wefut.com/player/13/1921/federico-marchetti
Tim Wiese,83,goldrare,Germany,87,77,63,91,55,78,https://wefut.com/player/13/877/tim-wiese
José Reina,83,goldrare,Spain,83,78,91,84,50,83,https://wefut.com/player/13/480/jose-reina
Cédric Carrasso,83,gold,France,80,79,80,86,38,83,https://wefut.com/player/13/1328/cedric-carrasso
Asmir Begovic,82,goldblue,Bosnia Herzegovina,87,80,80,87,70,81,https://wefut.com/player/13/13003/asmir-begovic
Simon Mignolet,82,goldblue,Belgium,85,84,72,85,61,78,https://wefut.com/player/13/12937/simon-mignolet
René Adler,82,goldif,Germany,86,81,66,85,56,85,https://wefut.com/player/13/11277/rene-adler
Rui Patrício,82,goldif,Portugal,85,81,82,84,51,82,https://wefut.com/player/13/11241/rui-patricio
Marc-André ter Stegen,82,goldif,Germany,84,81,80,88,53,82,https://wefut.com/player/13/11150/marc-andre-ter-stegen
Maarten Stekelenburg,82,goldrare,Netherlands,86,79,80,83,34,80,https://wefut.com/player/13/13564/maarten-stekelenburg
Júlio César,84,motm,Brazil,89,84,75,80,34,82,https://wefut.com/player/13/12234/diego-lopez
Mickaël Landreau,82,goldrare,France,80,78,84,86,32,78,https://wefut.com/player/13/12212/mickael-landreau
Diego Alves,82,goldrare,Brazil,91,72,74,90,57,75,https://wefut.com/player/13/3643/diego-alves
Diego López,82,goldrare,Spain,81,84,75,80,34,82,https://wefut.com/player/13/2225/diego-lopez
Helton,82,goldrare,Brazil,83,81,77,85,66,81,https://wefut.com/player/13/1843/helton
Artur Moraes,82,goldrare,Brazil,82,83,78,82,50,83,https://wefut.com/player/13/1529/artur-moraes
Mickaël Landreau,82,goldrare,France,80,78,84,86,32,78,https://wefut.com/player/13/108/mickael-landreau
Maarten Stekelenburg,82,goldrare,Netherlands,86,79,80,83,34,80,https://wefut.com/player/13/70/maarten-stekelenburg
Fernando Muslera,82,gold,Uruguay,82,79,72,85,53,81,https://wefut.com/player/13/5478/fernando-muslera
Júlio César,82,gold,Brazil,84,80,68,84,59,82,https://wefut.com/player/13/676/julio-cesar
Roman Weidenfeller,82,gold,Germany,84,80,58,85,48,83,https://wefut.com/player/13/75/roman-weidenfeller
Sebastien Frey,82,gold,France,84,80,60,86,55,82,https://wefut.com/player/13/49/sebastien-frey
Victor,81,motm,Brazil,87,80,63,89,46,80,https://wefut.com/player/13/13143/victor
Thibaut Courtois,81,motm,Belgium,81,91,64,87,54,84,https://wefut.com/player/13/13015/thibaut-courtois
Mark Schwarzer,81,goldif,Australia,80,84,74,83,50,85,https://wefut.com/player/13/13016/mark-schwarzer
De Gea,81,goldif,Spain,87,73,85,88,51,77,https://wefut.com/player/13/11656/de-gea
Stéphane Ruffier,81,goldif,France,84,81,76,88,55,82,https://wefut.com/player/13/11394/stephane-ruffier
Stefano Sorrentino,81,goldif,Italy,84,81,70,84,58,81,https://wefut.com/player/13/11168/stefano-sorrentino
Marc-André ter Stegen,81,goldif,Germany,82,80,79,87,52,80,https://wefut.com/player/13/11057/marc-andre-ter-stegen
Michel Vorm,81,goldrare,Netherlands,83,74,76,84,65,82,https://wefut.com/player/13/1680/michel-vorm
Morgan De Sanctis,81,goldrare,Italy,82,80,66,81,34,84,https://wefut.com/player/13/124/morgan-de-sanctis
Diego Cavalieri,81,gold,Brazil,80,81,73,86,33,81,https://wefut.com/player/13/12248/diego-cavalieri
Rui Patrício,81,gold,Portugal,84,80,82,81,51,80,https://wefut.com/player/13/4946/rui-patricio
Jefferson,81,gold,Brazil,82,79,73,84,62,79,https://wefut.com/player/13/1519/jefferson
René Adler,81,gold,Germany,84,79,66,83,56,82,https://wefut.com/player/13/1399/rene-adler
Diego López,82,goldrare,Spain,81,84,77,84,50,81,https://wefut.com/player/13/346/tim-howard
Nick Rimando,80,goldblue,United States,84,80,67,84,72,80,https://wefut.com/player/13/14264/nick-rimando
Guilherme,80,goldif,Brazil,86,73,74,85,68,80,https://wefut.com/player/13/13979/guilherme
Benoît Costil,80,goldif,France,83,81,75,86,46,83,https://wefut.com/player/13/12855/benoit-costil
Thibaut Courtois,80,goldif,Belgium,77,90,64,85,51,81,https://wefut.com/player/13/12336/thibaut-courtois
Iraizoz,80,goldif,Spain,78,86,75,80,42,86,https://wefut.com/player/13/12273/iraizoz
Willy Caballero,80,goldif,Argentina,81,80,68,85,53,84,https://wefut.com/player/13/11717/willy-caballero
Ben Foster,80,goldif,England,84,80,74,84,50,79,https://wefut.com/player/13/11697/ben-foster
Bernd Leno,80,goldif,Germany,82,76,81,86,61,80,https://wefut.com/player/13/11676/bernd-leno
Jean Francois Gillet,80,goldif,Belgium,81,76,76,86,60,79,https://wefut.com/player/13/11372/jean-francois-gillet
De Gea,80,goldrare,Spain,85,71,85,87,51,74,https://wefut.com/player/13/7561/de-gea
Stéphane Ruffier,80,goldrare,France,82,80,76,87,55,80,https://wefut.com/player/13/3775/stephane-ruffier
Brad Friedel,80,goldrare,United States,77,83,78,80,45,83,https://wefut.com/player/13/289/brad-friedel
Mark Schwarzer,80,gold,Australia,76,81,74,80,50,82,https://wefut.com/player/13/14074/mark-schwarzer
Sven Ulreich,80,gold,Germany,83,77,77,84,50,77,https://wefut.com/player/13/12251/sven-ulreich
Stefano Sorrentino,80,gold,Italy,82,80,70,82,58,80,https://wefut.com/player/13/11957/stefano-sorrentino
Marc-André ter Stegen,80,gold,Germany,78,80,79,85,52,78,https://wefut.com/player/13/7411/marc-andre-ter-stegen
Victor,80,gold,Brazil,84,77,63,85,46,77,https://wefut.com/player/13/6257/victor
Wojciech Szczęsny,80,gold,Poland,84,79,69,83,50,74,https://wefut.com/player/13/6101/wojciech-szczesny
Vyacheslav Malafeev,80,gold,Russia,79,78,70,85,56,81,https://wefut.com/player/13/2286/vyacheslav-malafeev
Andrey Dikan,80,gold,Ukraine,81,72,78,84,45,82,https://wefut.com/player/13/2236/andrey-dikan
Fábio,80,gold,Brazil,76,77,72,84,61,83,https://wefut.com/player/13/1518/fabio
Stefano Sorrentino,80,gold,Italy,82,80,70,82,58,80,https://wefut.com/player/13/686/stefano-sorrentino
Shay Given,80,gold,Republic of Ireland,85,75,72,86,40,79,https://wefut.com/player/13/85/shay-given
Christian Abbiati,80,gold,Italy,84,75,73,84,50,77,https://wefut.com/player/13/45/christian-abbiati
David Ospina,79,goldif,Colombia,84,82,77,85,34,79,https://wefut.com/player/13/13242/david-ospina
Oliver Baumann,79,goldif,Germany,83,78,73,85,52,78,https://wefut.com/player/13/12895/oliver-baumann
Guillermo Ochoa,79,goldif,Mexico,85,70,75,85,47,76,https://wefut.com/player/13/11707/guillermo-ochoa
Felipe,79,goldif,Brazil,82,74,62,85,60,80,https://wefut.com/player/13/11373/felipe
Diego Cavalieri,79,goldif,Brazil,79,79,71,84,29,80,https://wefut.com/player/13/11288/diego-cavalieri
Thibaut Courtois,79,goldrare,Belgium,73,89,64,82,51,77,https://wefut.com/player/13/7346/thibaut-courtois
Iraizoz,79,goldrare,Spain,74,85,75,76,42,84,https://wefut.com/player/13/1308/iraizoz
Willy Caballero,79,gold,Argentina,78,78,68,83,53,82,https://wefut.com/player/13/12256/willy-caballero
Bernd Leno,79,gold,Germany,80,76,81,83,61,77,https://wefut.com/player/13/7440/bernd-leno
Guaita,79,gold,Spain,81,74,72,86,51,79,https://wefut.com/player/13/6831/guaita
Roberto,79,gold,Spain,77,78,83,85,51,78,https://wefut.com/player/13/5704/roberto
Tim Krul,79,gold,Netherlands,81,79,72,84,50,75,https://wefut.com/player/13/4103/tim-krul
Emiliano Viviano,79,gold,Italy,78,78,68,83,45,77,https://wefut.com/player/13/3830/emiliano-viviano
Benoît Costil,79,gold,France,79,78,75,83,46,81,https://wefut.com/player/13/2988/benoit-costil
Ali Al-Habsi,79,gold,Oman,83,74,70,83,41,76,https://wefut.com/player/13/2328/ali-al-habsi
Diego Benaglio,79,gold,Switzerland,82,75,71,82,52,76,https://wefut.com/player/13/1310/diego-benaglio
Jean Francois Gillet,79,gold,Belgium,79,75,76,84,60,77,https://wefut.com/player/13/1105/jean-francois-gillet
Yann Sommer,78,goldif,Switzerland,76,79,65,82,67,80,https://wefut.com/player/13/14142/yann-sommer
Esteban Alvarado,78,goldif,Costa Rica,83,75,75,84,45,73,https://wefut.com/player/13/12605/esteban-alvarado
Itumeleng Khune,78,goldif,South Africa,81,74,92,81,32,76,https://wefut.com/player/13/11679/itumeleng-khune
Kevin Trapp,78,goldif,Germany,81,76,76,81,56,78,https://wefut.com/player/13/11638/kevin-trapp
Kenneth Vermeer,78,goldif,Netherlands,81,72,67,86,64,77,https://wefut.com/player/13/11619/kenneth-vermeer
Bracalli,78,goldif,Brazil,78,79,73,80,37,81,https://wefut.com/player/13/11587/bracalli
Andrés Fernández,78,goldif,Spain,85,75,69,85,58,74,https://wefut.com/player/13/11306/andres-fernandez
Mark Schwarzer,80,gold,Australia,76,81,74,80,45,76,https://wefut.com/player/13/11259/cristian-dario-alvarez
Asmir Begovic,78,goldrare,Bosnia Herzegovina,82,75,77,83,67,74,https://wefut.com/player/13/12264/asmir-begovic
Guilherme,78,goldrare,Brazil,85,69,74,82,68,77,https://wefut.com/player/13/5282/guilherme
Nikolay Mihaylov,78,goldrare,Bulgaria,81,78,76,84,65,69,https://wefut.com/player/13/5099/nikolay-mihaylov
Claudio Bravo,78,goldrare,Chile,81,72,85,83,58,75,https://wefut.com/player/13/4504/claudio-bravo
Sven Ulreich,78,gold,Germany,81,73,75,83,48,74,https://wefut.com/player/13/6204/sven-ulreich
Ron-Robert Zieler,78,gold,Germany,78,78,74,79,52,77,https://wefut.com/player/13/6099/ron-robert-zieler
Felipe,78,gold,Brazil,80,73,62,84,60,78,https://wefut.com/player/13/5441/felipe
Przemysław Tytoń,78,gold,Poland,84,75,70,82,57,72,https://wefut.com/player/13/4583/przemyslaw-tyton
Ben Foster,78,gold,England,80,78,74,82,50,76,https://wefut.com/player/13/3309/ben-foster
José de Jesús Corona,78,gold,Mexico,76,80,74,77,47,82,https://wefut.com/player/13/2827/jose-de-jesus-corona
Vladimir Gabulov,78,gold,Russia,79,76,78,81,61,76,https://wefut.com/player/13/2269/vladimir-gabulov
Marco Storari,78,gold,Italy,79,78,68,82,53,79,https://wefut.com/player/13/1699/marco-storari
Diego Cavalieri,78,gold,Brazil,76,79,71,81,29,78,https://wefut.com/player/13/1698/diego-cavalieri
Anders Lindegaard,78,gold,Denmark,83,76,74,79,47,74,https://wefut.com/player/13/1498/anders-lindegaard
Nicolas Douchez,78,gold,France,79,76,70,81,39,77,https://wefut.com/player/13/1342/nicolas-douchez
Carlos Idriss Kameni,78,gold,Cameroon,84,79,63,86,44,69,https://wefut.com/player/13/1245/carlos-idriss-kameni
Aranzubia,78,gold,Spain,78,75,78,81,57,80,https://wefut.com/player/13/662/aranzubia
Vanderlei,77,goldif,Brazil,79,78,71,82,58,79,https://wefut.com/player/13/13943/vanderlei
Moisés Muñoz,77,goldif,Mexico,78,77,62,82,48,80,https://wefut.com/player/13/13056/moises-munoz
Ali Ahamada,77,goldif,France,80,75,75,80,43,77,https://wefut.com/player/13/11336/ali-ahamada
John Ruddy,77,goldif,England,80,69,71,82,43,77,https://wefut.com/player/13/11234/john-ruddy
Moyá,77,goldif,Spain,82,70,82,82,48,75,https://wefut.com/player/13/11161/moya
Sergio Romero,77,goldrare,Argentina,79,72,84,81,51,70,https://wefut.com/player/13/4410/sergio-romero
Rogério Ceni,77,goldrare,Brazil,81,73,94,69,49,85,https://wefut.com/player/13/465/rogerio-ceni
Cristian Darío Álvarez,78,goldif,Argentina,83,73,72,85,45,78,https://wefut.com/player/13/14083/rafael
Michael Rensing,77,gold,Germany,81,74,68,85,63,72,https://wefut.com/player/13/13908/michael-rensing
Fernando Prass,77,gold,Brazil,79,71,63,84,55,75,https://wefut.com/player/13/12218/fernando-prass
Gomes,77,gold,Brazil,82,69,64,86,50,76,https://wefut.com/player/13/11805/gomes
Beto,77,gold,Portugal,77,76,75,78,47,76,https://wefut.com/player/13/11804/beto
Oliver Baumann,77,gold,Germany,80,75,73,81,52,73,https://wefut.com/player/13/7724/oliver-baumann
Rafael,77,gold,Brazil,83,74,67,85,52,78,https://wefut.com/player/13/7401/rafael
Cristian Darío Álvarez,77,gold,Argentina,81,71,72,83,45,72,https://wefut.com/player/13/6622/cristian-dario-alvarez
Muriel,77,gold,Brazil,81,72,70,82,33,73,https://wefut.com/player/13/5982/muriel
Beto,77,gold,Portugal,77,76,75,78,47,76,https://wefut.com/player/13/5489/beto
David Ospina,77,gold,Colombia,81,79,77,82,34,75,https://wefut.com/player/13/4657/david-ospina
Cássio,77,gold,Brazil,81,74,75,80,42,75,https://wefut.com/player/13/3813/cassio
Fernando Prass,77,gold,Brazil,79,71,63,84,55,75,https://wefut.com/player/13/3459/fernando-prass
Alexis Thébaux,77,gold,France,78,77,70,86,36,76,https://wefut.com/player/13/3453/alexis-thebaux
Andrea Consigli,77,gold,Italy,80,76,70,82,52,76,https://wefut.com/player/13/3367/andrea-consigli
Jaroslav Drobný,77,gold,Czech Republic,77,74,60,84,39,77,https://wefut.com/player/13/2427/jaroslav-drobny
Andrés Fernández,77,gold,Spain,83,74,69,84,58,70,https://wefut.com/player/13/2176/andres-fernandez
Antonio Mirante,77,gold,Italy,80,79,67,81,60,74,https://wefut.com/player/13/1981/antonio-mirante
Guillermo Ochoa,77,gold,Mexico,82,68,75,83,47,72,https://wefut.com/player/13/1971/guillermo-ochoa
Marco Amelia,77,gold,Italy,76,75,70,80,50,77,https://wefut.com/player/13/1618/marco-amelia
Gomes,77,gold,Brazil,82,69,64,86,50,76,https://wefut.com/player/13/1525/gomes
Michael Rensing,77,gold,Germany,81,74,68,85,63,72,https://wefut.com/player/13/1400/michael-rensing
Robert Green,77,gold,England,80,72,74,83,50,73,https://wefut.com/player/13/1057/robert-green
Dudu Aouate,77,gold,Israel,81,72,76,85,49,75,https://wefut.com/player/13/357/dudu-aouate
Yann Sommer,76,goldrare,Switzerland,72,76,65,80,67,77,https://wefut.com/player/13/4883/yann-sommer
Itumeleng Khune,76,goldrare,South Africa,78,72,92,79,32,73,https://wefut.com/player/13/3604/itumeleng-khune
Toño,76,gold,Spain,80,71,72,81,55,76,https://wefut.com/player/13/14086/tono
Simon Mignolet,76,gold,Belgium,78,79,71,77,60,71,https://wefut.com/player/13/13580/simon-mignolet
Esteban Alvarado,76,gold,Costa Rica,80,73,75,81,45,70,https://wefut.com/player/13/8136/esteban-alvarado
Željko Brkić,76,gold,Serbia,80,76,51,78,55,78,https://wefut.com/player/13/7937/zeljko-brkic
Paulo Victor,76,gold,Brazil,79,77,73,78,38,76,https://wefut.com/player/13/7571/paulo-victor
Kevin Trapp,76,gold,Germany,78,74,76,78,56,74,https://wefut.com/player/13/6624/kevin-trapp
Bracalli,76,gold,Brazil,75,77,73,76,37,77,https://wefut.com/player/13/5073/bracalli
Mariano Andújar,76,gold,Argentina,74,75,60,75,51,79,https://wefut.com/player/13/4482/mariano-andujar
Simon Mignolet,76,gold,Belgium,78,79,71,77,60,71,https://wefut.com/player/13/4415/simon-mignolet
Javi Varas,76,gold,Spain,82,71,68,83,51,72,https://wefut.com/player/13/4331/javi-varas
Kenneth Vermeer,76,gold,Netherlands,77,70,67,84,64,74,https://wefut.com/player/13/3911/kenneth-vermeer
Anton Shunin,76,gold,Russia,73,79,72,81,43,75,https://wefut.com/player/13/3766/anton-shunin
Łukasz Fabiański,76,gold,Poland,78,70,74,84,50,76,https://wefut.com/player/13/3546/lukasz-fabianski
Geoffrey Jourdren,76,gold,France,80,72,76,80,47,78,https://wefut.com/player/13/3425/geoffrey-jourdren
Willy Caballero,76,gold,Argentina,75,78,68,80,52,77,https://wefut.com/player/13/1837/willy-caballero
Toño,76,gold,Spain,80,71,72,81,55,76,https://wefut.com/player/13/1772/tono
Steeve Elana,76,gold,France,82,78,65,79,36,70,https://wefut.com/player/13/1234/steeve-elana
Tom Starke,76,gold,Germany,78,75,68,80,52,75,https://wefut.com/player/13/1159/tom-starke
Gustavo Munúa,75,goldrare,Uruguay,81,70,84,77,49,73,https://wefut.com/player/13/13594/gustavo-munua
Gustavo Munúa,75,goldrare,Uruguay,81,70,84,77,49,73,https://wefut.com/player/13/2210/gustavo-munua
Simon Jentzsch,75,goldrare,Germany,77,75,67,77,36,74,https://wefut.com/player/13/100/simon-jentzsch
Juan Pablo Carrizo,75,gold,Argentina,74,73,82,80,59,77,https://wefut.com/player/13/12624/juan-pablo-carrizo
Ali Ahamada,75,gold,France,76,74,75,78,43,74,https://wefut.com/player/13/8067/ali-ahamada
Asmir Begovic,76,goldrare,Bosnia Herzegovina,81,73,77,82,56,70,https://wefut.com/player/13/5214/thomas-kraft
Fabricio,75,gold,Spain,73,81,65,75,52,74,https://wefut.com/player/13/4889/fabricio
Piet Velthuizen,75,gold,Netherlands,75,75,68,80,57,74,https://wefut.com/player/13/4765/piet-velthuizen
Keiren Westwood,75,gold,Republic of Ireland,79,73,74,80,50,70,https://wefut.com/player/13/4365/keiren-westwood
Juan Pablo Carrizo,75,gold,Argentina,74,73,82,80,59,77,https://wefut.com/player/13/3781/juan-pablo-carrizo
Yuriy Zhevnov,75,gold,Belarus,78,74,73,75,48,76,https://wefut.com/player/13/3768/yuriy-zhevnov
Brad Guzan,75,gold,United States,79,75,70,77,54,71,https://wefut.com/player/13/3502/brad-guzan
John Ruddy,75,gold,England,77,68,71,79,43,75,https://wefut.com/player/13/3385/john-ruddy
Romuald Peiser,75,gold,France,76,73,69,77,38,73,https://wefut.com/player/13/3086/romuald-peiser
Alexandros Tzorvas,75,gold,Greece,78,72,68,78,49,74,https://wefut.com/player/13/2426/alexandros-tzorvas
Michael Agazzi,75,gold,Italy,78,72,62,80,53,76,https://wefut.com/player/13/1432/michael-agazzi
Jérémie Janot,75,gold,France,75,72,66,77,51,75,https://wefut.com/player/13/1337/jeremie-janot
Fabien Audard,75,gold,France,78,70,74,81,32,75,https://wefut.com/player/13/1242/fabien-audard
Moyá,75,gold,Spain,80,69,82,79,48,72,https://wefut.com/player/13/1205/moya
Raphael Schäfer,75,gold,Germany,77,71,64,79,31,75,https://wefut.com/player/13/671/raphael-schafer
Johan Wiland,75,gold,Sweden,74,74,71,80,46,77,https://wefut.com/player/13/526/johan-wiland
Quim,75,gold,Portugal,74,76,77,74,31,75,https://wefut.com/player/13/449/quim
Paddy Kenny,75,gold,Republic of Ireland,74,71,74,78,51,77,https://wefut.com/player/13/381/paddy-kenny
Paul Robinson,75,gold,England,75,74,82,78,50,73,https://wefut.com/player/13/322/paul-robinson
Timo Hildebrand,75,gold,Germany,78,74,70,77,56,74,https://wefut.com/player/13/276/timo-hildebrand
Luca Castellazzi,75,gold,Italy,76,74,65,77,57,78,https://wefut.com/player/13/179/luca-castellazzi
Rául Fernàndez,74,silverblue,Peru,81,77,64,81,54,79,https://wefut.com/player/13/14253/raul-fernandez
Silvio Proto,74,silverblue,Belgium,85,74,76,84,71,72,https://wefut.com/player/13/13189/silvio-proto
Yoann Thuram-Ulien,74,silverblue,France,82,74,64,81,42,79,https://wefut.com/player/13/13170/yoann-thuram-ulien
Kossi Agassa,74,silverblue,Togo,83,84,56,80,68,75,https://wefut.com/player/13/12949/kossi-agassa
Marcelo Lomba,74,silverif,Brazil,79,74,68,81,31,75,https://wefut.com/player/13/13990/marcelo-lomba
Nick Rimando,74,silverif,United States,80,75,64,80,69,74,https://wefut.com/player/13/13881/nick-rimando
Daniel Örlund,74,silverif,Sweden,73,75,67,81,56,74,https://wefut.com/player/13/13870/daniel-orlund
Vanderlei,74,silverif,Brazil,76,75,71,80,58,76,https://wefut.com/player/13/13155/vanderlei
Pinto,74,silverif,Spain,82,78,78,72,43,71,https://wefut.com/player/13/13144/pinto
Jelle ten Rouwelaar,74,silverif,Netherlands,75,73,68,74,52,77,https://wefut.com/player/13/12989/jelle-ten-rouwelaar
Rémy Vercoutre,74,silverif,France,80,74,73,83,36,76,https://wefut.com/player/13/12804/remy-vercoutre
Philipp Tschauner,74,silverif,Germany,77,75,60,78,53,70,https://wefut.com/player/13/12616/philipp-tschauner
Stipe Pletikosa,74,silverif,Croatia,77,74,73,76,64,81,https://wefut.com/player/13/12596/stipe-pletikosa
Christian Puggioni,74,silverif,Italy,77,75,65,80,50,78,https://wefut.com/player/13/12301/christian-puggioni
Julián Speroni,74,silverif,Argentina,80,73,69,79,58,73,https://wefut.com/player/13/12284/julian-speroni
Moisés Muñoz,74,silverif,Mexico,75,74,62,79,48,76,https://wefut.com/player/13/11708/moises-munoz
Kristoffer Nordfeldt,74,silverif,Sweden,76,71,65,80,67,72,https://wefut.com/player/13/11667/kristoffer-nordfeldt
Kasper Schmeichel,74,silverif,Denmark,78,74,83,81,57,73,https://wefut.com/player/13/11630/kasper-schmeichel
Gerhard Tremmel,74,silverif,Germany,78,72,59,79,48,75,https://wefut.com/player/13/11419/gerhard-tremmel
Ádám Bogdán,74,silverif,Hungary,77,73,69,80,52,75,https://wefut.com/player/13/11355/adam-bogdan
Palop,74,silverif,Spain,76,73,77,70,54,82,https://wefut.com/player/13/11319/palop
Jussi Jääskeläinen,74,silverif,Finland,80,72,70,76,50,77,https://wefut.com/player/13/11252/jussi-jaaskelainen
Cirilo Saucedo,74,silverif,Mexico,77,77,71,73,42,73,https://wefut.com/player/13/11197/cirilo-saucedo
David Stockdale,74,silverrare,England,76,72,79,76,50,72,https://wefut.com/player/13/12154/david-stockdale
Carlo Cudicini,74,silverrare,Italy,72,76,68,75,42,75,https://wefut.com/player/13/11990/carlo-cudicini
Dida,74,silverrare,Brazil,75,70,67,68,55,88,https://wefut.com/player/13/11989/dida
Lars Unnerstall,74,silverrare,Germany,77,70,62,79,35,74,https://wefut.com/player/13/8588/lars-unnerstall
Costel Pantilimon,74,silverrare,Romania,75,70,70,77,48,75,https://wefut.com/player/13/7460/costel-pantilimon
Wolfgang Hesl,74,silverif,Germany,74,72,74,77,29,74,https://wefut.com/player/13/5992/fabiano
David Stockdale,74,silverrare,England,76,72,79,76,50,72,https://wefut.com/player/13/5465/david-stockdale
Ralf Fährmann,74,silverrare,Germany,78,71,73,81,53,69,https://wefut.com/player/13/5165/ralf-fahrmann
Sergio Asenjo,74,silverrare,Spain,81,74,68,74,50,69,https://wefut.com/player/13/5097/sergio-asenjo
Pär Hansson,74,silverrare,Sweden,84,63,83,79,35,72,https://wefut.com/player/13/4890/par-hansson
Jung Sung Ryong,74,silverrare,Korea Republic,75,71,88,72,41,74,https://wefut.com/player/13/4636/jung-sung-ryong
Nukri Revishvili,74,silverrare,Georgia,78,75,67,77,43,70,https://wefut.com/player/13/4548/nukri-revishvili
Fraser Forster,74,silverrare,England,74,77,66,78,41,77,https://wefut.com/player/13/4279/fraser-forster
Wayne Hennessey,74,silverrare,Wales,79,70,73,79,50,71,https://wefut.com/player/13/4055/wayne-hennessey
Kasper Schmeichel,74,silverrare,Denmark,74,72,83,78,56,70,https://wefut.com/player/13/3384/kasper-schmeichel
Jonathan Orozco,74,silverrare,Mexico,77,71,74,75,41,74,https://wefut.com/player/13/3331/jonathan-orozco
Marcelo Boeck,74,silverrare,Brazil,75,74,70,76,34,73,https://wefut.com/player/13/2807/marcelo-boeck
